,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
156,-0.072913,0.091369,0.376128,-0.131904,0.06501,0.344659,-0.071039,0.072837,0.386628,-0.08632999999999999,0.078615,0.373849
157,-0.239142,-0.026456999999999998,0.22772399999999998,-0.22115300000000002,0.00215,0.246844,-0.245018,-0.019632,0.235775,-0.244979,-0.019244,0.235629
158,-0.200966,0.0399,0.241184,-0.21157199999999998,0.037051,0.190031,-0.22016,0.050698,0.204281,-0.220168,0.050696,0.204281
159,-0.10524800000000001,0.089696,0.34933200000000003,-0.15807000000000002,0.16355699999999998,0.307936,-0.114675,0.135505,0.335991,-0.12828499999999998,0.13883299999999998,0.357051
160,-0.18199400000000002,0.043172,0.251213,-0.216375,0.109556,0.179488,-0.198193,0.108578,0.221708,-0.222717,0.108376,0.227783
161,-0.140329,0.010864,0.35784699999999997,-0.156574,-0.011196,0.296552,-0.134866,-0.016465999999999998,0.36298,-0.136768,-0.006776999999999999,0.3513
162,-0.192674,0.08669099999999999,0.303933,-0.184558,0.057342,0.28868499999999997,-0.20204,0.07660700000000001,0.292302,-0.20239,0.076776,0.292188
163,-0.166128,0.10221799999999999,0.302025,-0.174442,0.07946900000000001,0.301308,-0.168496,0.092365,0.313417,-0.174446,0.091695,0.318629
164,-0.17256,0.11839000000000001,0.326519,-0.189901,0.10312,0.286673,-0.195531,0.113632,0.302998,-0.195579,0.113651,0.302987
165,-0.177258,0.073909,0.291135,-0.16146,0.028610000000000003,0.29339,-0.172933,0.039799,0.306004,-0.17293499999999998,0.039799,0.306005
166,-0.172754,0.056642,0.27741,-0.18551199999999998,0.056572000000000004,0.268061,-0.17605,0.064786,0.278614,-0.191107,0.060655,0.288029
167,-0.155133,0.0727,0.3664,-0.150897,0.031236,0.327897,-0.143646,0.040639,0.373816,-0.14371199999999998,0.040731,0.37374
168,-0.127301,0.000676,0.405796,-0.169329,0.042792000000000004,0.344157,-0.13256800000000002,0.042962,0.417231,-0.136402,0.054672000000000005,0.387617
169,-0.14754,0.009295999999999999,0.399367,-0.17796700000000001,0.035255,0.33671999999999996,-0.161156,0.026096,0.398677,-0.161154,0.035198,0.380524
